icu_patients,date,new_cases,people_vaccinated_per_hundred,new_tests_per_thousand,new_vaccinations,location,new_deaths,positive_rate,hosp_patients
45.0,2021-07-18,1099.0,5.7,,30.0,Algeria,16.0,,
,2021-07-18,98.0,2.92,,,Angola,3.0,,
,2021-07-18,0.0,0.33,,,Benin,0.0,,
,2021-07-18,0.0,7.38,,10435.0,Botswana,0.0,,
,2021-07-18,0.0,0.15,,,Burkina Faso,0.0,,
,2021-07-18,0.0,,,,Burundi,0.0,,
,2021-07-18,0.0,0.51,,400.0,Cameroon,0.0,,
,2021-07-18,32.0,19.91,2.237,4461.0,Cape Verde,0.0,0.117,
,2021-07-18,0.0,1.63,,12887.0,Central African Republic,0.0,,
,2021-07-18,0.0,0.11,,,Chad,0.0,,
,2021-07-18,2.0,4.96,,,Comoros,0.0,,
,2021-07-18,0.0,2.97,,1486.0,Congo,0.0,,
,2021-07-18,71.0,3.32,0.202,8125.0,Cote d'Ivoire,0.0,0.006,
,2021-07-18,583.0,0.05,0.023,,Democratic Republic of Congo,34.0,0.134,
,2021-07-18,5.0,1.27,,,Djibouti,0.0,,
,2021-07-18,0.0,3.52,,30198.0,Egypt,0.0,,
,2021-07-18,0.0,11.55,1.414,,Equatorial Guinea,0.0,,
,2021-07-18,0.0,,,,Eritrea,0.0,,
,2021-07-18,70.0,3.29,,2925.0,Eswatini,9.0,,
,2021-07-18,81.0,1.65,0.04,17926.0,Ethiopia,3.0,0.018000000000000002,
,2021-07-18,0.0,2.07,,1486.0,Gabon,0.0,,
,2021-07-18,310.0,1.29,0.235,,Gambia,2.0,0.024,
,2021-07-18,382.0,2.78,0.159,38597.0,Ghana,2.0,0.039,
,2021-07-18,159.0,3.81,,4334.0,Guinea,2.0,,
,2021-07-18,8.0,1.2,,,Guinea-Bissau,1.0,,
,2021-07-18,323.0,1.93,0.033,42638.0,Kenya,15.0,0.12,
,2021-07-18,0.0,1.71,,,Lesotho,0.0,,
,2021-07-18,81.0,1.71,,1847.0,Liberia,0.0,,
,2021-07-18,4061.0,6.19,1.086,,Libya,28.0,0.248,
,2021-07-18,16.0,0.71,0.02,13544.0,Madagascar,1.0,0.027000000000000003,
,2021-07-18,427.0,2.01,0.16899999999999998,16.0,Malawi,13.0,0.258,
,2021-07-18,4.0,0.72,,,Mali,0.0,,
,2021-07-18,129.0,3.65,0.145,2591.0,Mauritania,1.0,,
,2021-07-18,171.0,46.88,,,Mauritius,1.0,,
,2021-07-18,2144.0,30.4,0.638,6772.0,Morocco,16.0,0.085,
,2021-07-18,1260.0,1.13,0.138,,Mozambique,19.0,0.337,
,2021-07-18,743.0,5.34,0.938,1715.0,Namibia,39.0,0.407,
,2021-07-18,14.0,1.5,,,Niger,0.0,,
,2021-07-18,203.0,1.23,0.058,58913.0,Nigeria,1.0,0.026,
,2021-07-18,2773.0,3.07,0.411,1235.0,Rwanda,11.0,0.108,
,2021-05-05,,71.83,,,Saint Helena,,,
,2021-07-18,0.0,11.95,,,Sao Tome and Principe,0.0,,
,2021-07-18,1722.0,3.51,0.17,7129.0,Senegal,6.0,0.192,
,2021-07-18,0.0,72.7,,1301.0,Seychelles,0.0,,
,2021-07-18,20.0,1.03,,1928.0,Sierra Leone,0.0,,
,2021-07-18,38.0,1.02,,4239.0,Somalia,0.0,,
,2021-07-18,11215.0,7.31,0.873,144331.0,South Africa,183.0,0.29100000000000004,
,2021-07-18,0.0,0.46,0.037000000000000005,201.0,South Sudan,0.0,0.008,
,2021-07-18,0.0,1.26,,6534.0,Sudan,0.0,,
,2021-07-18,0.0,,,,Tanzania,0.0,,
,2021-07-18,47.0,3.27,0.152,,Togo,1.0,0.029,
,2021-07-18,5435.0,13.04,2.027,34562.0,Tunisia,173.0,0.32,
,2021-07-18,417.0,2.38,0.108,5439.0,Uganda,29.0,0.104,
,2021-07-18,977.0,1.19,0.4320000000000001,8364.0,Zambia,32.0,0.212,
,2021-07-18,1006.0,6.97,0.848,53222.0,Zimbabwe,34.0,0.228,
